
 Absorption Cross-Sections for:  O2    

  31.9988	Molecular Weight of Principal Isotope

     Wavelength    Cross-Section
     (microns)       (cm**2) 

     2.0000E-03     2.0000E-19
     4.0000E-03     3.8400E-19
     6.0000E-03     6.9600E-19
     8.0000E-03     1.2240E-18
     1.0000E-02     1.8320E-18
     1.2000E-02     2.9420E-18
     1.4000E-02     4.3580E-18
     1.6000E-02     5.8450E-18
     1.8000E-02     7.2040E-18
     2.0000E-02     8.5110E-18
     2.2000E-02     1.0010E-17
     2.4000E-02     1.1480E-17
     2.6000E-02     1.2920E-17
     2.8000E-02     1.4390E-17
     3.0000E-02     1.5510E-17
     3.0380E-02     1.6000E-17
     3.2000E-02     1.6580E-17
     3.4000E-02     1.7580E-17
     3.6000E-02     1.8140E-17
     3.6810E-02     1.8400E-17
     3.8000E-02     1.8600E-17
     4.0000E-02     1.9230E-17
     4.2000E-02     1.9410E-17
     4.4000E-02     1.9670E-17
     4.6000E-02     2.0250E-17
     4.8000E-02     2.1020E-17
     4.9930E-02     2.1980E-17
     5.0000E-02     2.2100E-17
     5.2000E-02     2.3800E-17
     5.4000E-02     2.5450E-17
     5.5450E-02     2.5600E-17
     5.6000E-02     2.5580E-17
     5.8000E-02     2.3770E-17
     5.8470E-02     2.2000E-17
     6.0000E-02     2.6400E-17
     6.0940E-02     2.6100E-17
     6.2000E-02     2.5940E-17
     6.2530E-02     2.5900E-17
     6.2970E-02     2.5800E-17
     6.4000E-02     2.6160E-17
     6.6000E-02     2.5020E-17
     6.8000E-02     2.3740E-17
     7.0000E-02     3.1730E-17
     7.2000E-02     2.9860E-17
     7.4000E-02     2.9250E-17
     7.6000E-02     2.2360E-17
     7.6460E-02     2.0000E-17
     7.7040E-02     1.8000E-17
     7.8000E-02     2.7500E-17
     7.9020E-02     2.8000E-17
     8.0000E-02     3.7550E-17
     8.2000E-02     3.3180E-17
     8.3420E-02     1.3000E-17
     8.4000E-02     1.9710E-17
     8.6000E-02     1.2800E-17
     8.8000E-02     9.5600E-18
     9.0000E-02     1.1720E-17
     9.2000E-02     1.2890E-17
     9.2310E-02     4.0000E-18
     9.3340E-02     2.5600E-17
     9.3780E-02     5.0000E-18
     9.4000E-02     2.3260E-17
     9.4970E-02     6.3000E-18
     9.6000E-02     2.4160E-17
     9.7250E-02     3.2000E-17
     9.7700E-02     4.0000E-18
     9.8000E-02     2.2230E-17
     9.9100E-02     1.9000E-18
     1.0000E-01     5.1000E-18
     1.0200E-01     1.2300E-18
     1.0257E-01     1.6000E-18
     1.0350E-01     1.2000E-18
     1.0600E-01     1.0000E-18
     1.1100E-01     1.0000E-19
     1.1550E-01     4.0000E-19
     1.1900E-01     1.0000E-19
     1.2100E-01     7.0000E-19
     1.2157E-01     1.1300E-20
     1.2500E-01     1.0000E-18
     1.3000E-01     4.2000E-19
     1.3500E-01     4.5500E-18
     1.4000E-01     1.3600E-17
     1.4500E-01     1.4100E-17
     1.5000E-01     1.1500E-17
     1.5500E-01     8.2400E-18
     1.6000E-01     4.9700E-18
     1.6500E-01     2.0800E-18
     1.7000E-01     7.2200E-19
     1.7500E-01     2.7400E-19
     1.8000E-01     1.0000E-20
     1.8500E-01     1.5000E-21
     1.9000E-01     1.0000E-22
     1.9500E-01     1.6000E-23
     2.0000E-01     8.0900E-24
     2.0500E-01     7.6200E-24
     2.1000E-01     6.8300E-24
     2.1500E-01     5.5500E-24
     2.2000E-01     4.4400E-24
     2.2500E-01     3.5300E-24
     2.3000E-01     2.6600E-24
     2.3500E-01     1.9000E-24
     2.4000E-01     1.2300E-24
     2.4500E-01     2.6100E-25
     2.5000e-01     0.0000
     2.0000e+03     0.0000
