 values from .184 to 0.350 microns from the CfA database http://cfa-www.harvard.edu/amdata/ampdata/newcfamols.shtml  Updated 1/9/2000
 Absorption Cross-Sections for:  O3 

  47.9982	Molecular Weight of Principal Isotope   

     Wavelength    Cross-Section
     (microns)       (cm**2) 

     1.0000E-02     0.0000E+01
     1.2200E-01     2.0000E-19
    1.84920E-01    6.20100E-19
    1.85054E-01    6.19200E-19
    1.85188E-01    6.18170E-19
    1.85323E-01    6.26190E-19
    1.85457E-01    6.19560E-19
    1.85592E-01    6.10560E-19
    1.85726E-01    6.11200E-19
    1.85860E-01    6.09750E-19
    1.85995E-01    6.05540E-19
    1.86129E-01    6.10780E-19
    1.86264E-01    5.86280E-19
    1.86398E-01    5.99010E-19
    1.86533E-01    5.89980E-19
    1.86667E-01    5.87620E-19
    1.86801E-01    5.82230E-19
    1.86936E-01    5.69810E-19
    1.87070E-01    5.80930E-19
    1.87205E-01    5.68170E-19
    1.87339E-01    5.65550E-19
    1.87473E-01    5.57850E-19
    1.87608E-01    5.63020E-19
    1.87742E-01    5.84360E-19
    1.87877E-01    5.60700E-19
    1.88011E-01    5.58780E-19
    1.88145E-01    5.63540E-19
    1.88280E-01    5.51650E-19
    1.88414E-01    5.46320E-19
    1.88549E-01    5.50790E-19
    1.88683E-01    5.26190E-19
    1.88818E-01    5.27680E-19
    1.88952E-01    5.34150E-19
    1.89086E-01    5.13590E-19
    1.89221E-01    5.27720E-19
    1.89355E-01    5.20590E-19
    1.89490E-01    5.15370E-19
    1.89624E-01    5.08100E-19
    1.89758E-01    5.09510E-19
    1.89893E-01    5.02260E-19
    1.90027E-01    5.02920E-19
    1.90162E-01    4.97240E-19
    1.90296E-01    4.84950E-19
    1.90430E-01    4.76160E-19
    1.90565E-01    4.64730E-19
    1.90699E-01    4.73480E-19
    1.90834E-01    4.76780E-19
    1.90968E-01    4.74000E-19
    1.91103E-01    4.75660E-19
    1.91237E-01    4.59910E-19
    1.91371E-01    4.62630E-19
    1.91506E-01    4.58810E-19
    1.91640E-01    4.58860E-19
    1.91775E-01    4.48900E-19
    1.91909E-01    4.45880E-19
    1.92043E-01    4.44440E-19
    1.92178E-01    4.27570E-19
    1.92312E-01    4.34210E-19
