
 Absorption Cross-Sections for:  H2O   

  18.0153	 Molecular Weight of Principal Isotope

     Wavelength    Cross-Section
     (microns)       (cm**2) 

     6.0000E-03     5.0000E-19
     8.0000E-03     1.2500E-18
     1.0000E-02     1.2500E-18
     1.2000E-02     1.6500E-18
     1.4000E-02     2.3400E-18
     1.6000E-02     3.1500E-18
     1.8000E-02     4.0000E-18
     2.0000E-02     4.8700E-18
     2.2000E-02     5.8000E-18
     2.4000E-02     6.7200E-18
     2.6000E-02     7.7000E-18
     2.8000E-02     8.7200E-18
     3.0000E-02     9.7500E-18
     3.0380E-02     9.9100E-18
     3.2000E-02     1.0700E-17
     3.4000E-02     1.1700E-17
     3.6000E-02     1.2600E-17
     3.6810E-02     1.3000E-17
     3.8000E-02     1.3600E-17
     4.0000E-02     1.4900E-17
     4.2000E-02     1.6200E-17
     4.4000E-02     1.7100E-17
     4.6000E-02     1.7900E-17
     4.8000E-02     1.8600E-17
     4.9930E-02     1.9200E-17
     5.0000E-02     1.9200E-17
     5.2000E-02     2.0100E-17
     5.4000E-02     2.0800E-17
     5.5450E-02     2.0900E-17
     5.6000E-02     2.1300E-17
     5.8000E-02     2.1800E-17
     5.8470E-02     2.1900E-17
     6.0000E-02     2.2300E-17
     6.0940E-02     2.2400E-17
     6.2000E-02     2.2600E-17
     6.2530E-02     2.2700E-17
     6.2970E-02     2.2800E-17
     6.4000E-02     2.2900E-17
     6.6000E-02     2.3400E-17
     6.8000E-02     2.3000E-17
     7.0000E-02     2.2200E-17
     7.2000E-02     2.2600E-17
     7.4000E-02     2.1000E-17
     7.6000E-02     1.9600E-17
     7.6460E-02     1.9400E-17
     7.7040E-02     2.1800E-17
     7.8000E-02     1.6800E-17
     7.9020E-02     1.7800E-17
     8.0000E-02     1.6100E-17
     8.2000E-02     1.6000E-17
     8.3420E-02     1.6400E-17
     8.4000E-02     1.6000E-17
     8.6000E-02     1.9500E-17
     8.8000E-02     2.0200E-17
     9.0000E-02     2.1900E-17
     9.2000E-02     1.9200E-17
     9.2310E-02     1.9300E-17
     9.3340E-02     2.0900E-17
     9.3780E-02     2.0900E-17
     9.4000E-02     2.0500E-17
     9.4970E-02     1.8900E-17
     9.6000E-02     1.8800E-17
     9.7250E-02     1.6400E-17
     9.7700E-02     1.5100E-17
     9.8000E-02     1.4600E-17
     9.9100E-02     1.4000E-17
     1.0000E-01     1.3000E-17
     1.0200E-01     1.2000E-17
     1.0257E-01     1.2000E-17
     1.0350E-01     7.0000E-18
     1.0600E-01     9.4000E-18
     1.1100E-01     1.0000E-17
     1.1550E-01     6.3000E-18
     1.1900E-01     6.9000E-18
     1.2100E-01     1.1000E-17
     1.2157E-01     1.5900E-17
     1.2500E-01     8.9000E-18
     1.3000E-01     7.5000E-18
     1.3500E-01     3.9000E-18
     1.4000E-01     1.1000E-18
     1.4500E-01     6.5000E-19
     1.5000E-01     1.1000E-18
     1.5500E-01     2.1000E-18
     1.6000E-01     3.6000E-18
     1.6500E-01     4.9000E-18
     1.7000E-01     4.0000E-18
     1.7500E-01     2.6000E-18
     1.8000E-01     7.3000E-19
     1.8500E-01     8.8000E-20
     1.9000E-01     7.1000E-21
     1.9500E-01     8.2000E-22
     2.0000e-01     0.00000
     2.0000e+03     0.00000
