
 Absorption Cross-Sections for:  N2O   

  44.0128	Molecular Weight of Principal Isotope

     Wavelength    Cross-Section
     (microns)       (cm**2) 

     1.0350E-01     3.7000E-17
     1.0600E-01     3.7000E-17
     1.1100E-01     3.7000E-17
     1.1550E-01     1.5000E-17
     1.1900E-01     3.7000E-18
     1.2100E-01     2.6000E-18
     1.2157E-01     2.6000E-18
     1.2500E-01     1.7000E-17
     1.3000E-01     8.9000E-17
     1.3500E-01     3.7000E-18
     1.4000E-01     5.0000E-19
     1.4500E-01     4.0000E-18
     1.5000E-01     1.0000E-18
     1.5500E-01     1.0000E-19
     1.6000E-01     3.0000E-20
     1.6500E-01     4.0000E-20
     1.7000E-01     7.0000E-20
     1.7500E-01     1.2600E-19
     1.8000E-01     1.4400E-19
     1.8500E-01     1.4000E-19
     1.9000E-01     1.1100E-19
     1.9500E-01     7.5100E-20
     2.0000E-01     4.1600E-20
     2.0500E-01     1.9800E-20
     2.1000E-01     8.0600E-21
     2.1500E-01     2.8800E-21
     2.2000E-01     9.6300E-22
     2.2500E-01     3.1600E-22
     2.3000E-01     1.0000E-22
     2.3500E-01     3.1400E-23
     2.4000E-01     1.2500E-23
     2.5000e-01     0.0000E+00
     2.0000E+03     0.0000E+00
